2022-12-17 10:11:57.437 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 10:11:57.687 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.111 сек., синхр.=0.046 сек., всего=0.251 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.023 сек.; расстояние=7 kB, ожидалось=273 kB
2022-12-17 10:16:57.698 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 10:16:57.932 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.114 сек., синхр.=0.047 сек., всего=0.235 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.024 сек.; расстояние=8 kB, ожидалось=247 kB
2022-12-17 10:21:57.934 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 10:21:58.177 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.052 сек., всего=0.244 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.026 сек.; расстояние=1 kB, ожидалось=222 kB
2022-12-17 10:26:57.185 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 10:26:57.422 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.114 сек., синхр.=0.048 сек., всего=0.238 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.024 сек.; расстояние=2 kB, ожидалось=200 kB
2022-12-17 10:38:13.065 +04 [2252] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 10:38:13.065 +04 [8100] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 10:41:57.438 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 10:41:57.790 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.218 сек., синхр.=0.056 сек., всего=0.352 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.027 сек., средняя=0.019 сек.; расстояние=2 kB, ожидалось=180 kB
2022-12-17 10:46:57.792 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 10:46:58.035 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.115 сек., синхр.=0.055 сек., всего=0.243 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.028 сек.; расстояние=3 kB, ожидалось=162 kB
2022-12-17 10:51:57.045 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 10:51:57.730 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.554 сек., синхр.=0.058 сек., всего=0.686 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.021 сек., средняя=0.010 сек.; расстояние=7 kB, ожидалось=147 kB
2022-12-17 10:56:57.746 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 10:57:00.592 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 24 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.509 сек., синхр.=0.257 сек., всего=2.846 сек.; синхронизировано_файлов=24, самая_долгая_синхр.=0.024 сек., средняя=0.011 сек.; расстояние=9 kB, ожидалось=133 kB
2022-12-17 11:01:57.600 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 11:01:59.387 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 14 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.407 сек., синхр.=0.300 сек., всего=1.788 сек.; синхронизировано_файлов=14, самая_долгая_синхр.=0.028 сек., средняя=0.022 сек.; расстояние=12 kB, ожидалось=121 kB
2022-12-17 11:36:57.457 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 11:36:58.176 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.559 сек., синхр.=0.091 сек., всего=0.720 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.052 сек., средняя=0.016 сек.; расстояние=20 kB, ожидалось=111 kB
2022-12-17 11:37:50.488 +04 [10108] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2022-12-17 11:37:50.488 +04 [4688] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 11:41:57.178 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 11:41:58.546 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.193 сек., синхр.=0.102 сек., всего=1.368 сек.; синхронизировано_файлов=12, самая_долгая_синхр.=0.021 сек., средняя=0.009 сек.; расстояние=14 kB, ожидалось=101 kB
2022-12-17 11:46:57.557 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 11:46:58.433 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.653 сек., синхр.=0.146 сек., всего=0.877 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.036 сек., средняя=0.021 сек.; расстояние=12 kB, ожидалось=92 kB
2022-12-17 11:51:38.652 +04 [1684] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† creditor.requisits РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 513)
2022-12-17 11:51:38.652 +04 [1684] РџРћР”РЎРљРђР—РљРђ:  Р’РѕР·РјРѕР¶РЅРѕ, РїСЂРµРґРїРѕР»Р°РіР°Р»Р°СЃСЊ СЃСЃС‹Р»РєР° РЅР° СЃС‚РѕР»Р±РµС† "creditor.requisitesId".
2022-12-17 11:51:38.652 +04 [1684] РћРџР•Р РђРўРћР :  SELECT "contracts"."id", "contracts"."name", "contracts"."number", "contracts"."sum_issue", "contracts"."date_issue", "contracts"."due_date", "contracts"."percent", "contracts"."penalty", "contracts"."statusChanged", "contracts"."isContractJur", "contracts"."statusId", "contracts"."createdAt", "contracts"."updatedAt", "contracts"."groupId", "contracts"."debtorId", "contracts"."cessionId", "contracts"."creditorId", "contracts"."typeId", "creditor"."id" AS "creditor.id", "creditor"."name" AS "creditor.name", "creditor"."requisits" AS "creditor.requisits", "creditor"."house" AS "creditor.house", "creditor"."flat" AS "creditor.flat", "creditor"."block" AS "creditor.block", "creditor"."regionId" AS "creditor.regionId", "creditor"."cityId" AS "creditor.cityId", "creditor"."streetId" AS "creditor.streetId", "creditor"."areaId" AS "creditor.areaId", "creditor"."blockTypeId" AS "creditor.blockTypeId", "creditor"."houseTypeId" AS "creditor.houseTypeId", "creditor"."flatTypeId" AS "creditor.flatTypeId", "debtor"."id" AS "debtor.id", "debtor"."surname" AS "debtor.surname", "debtor"."name" AS "debtor.name", "debtor"."patronymic" AS "debtor.patronymic" FROM "contracts" AS "contracts" LEFT OUTER JOIN "creditors" AS "creditor" ON "contracts"."creditorId" = "creditor"."id" LEFT OUTER JOIN "debtors" AS "debtor" ON "contracts"."debtorId" = "debtor"."id" WHERE "contracts"."id" = '5' AND "contracts"."groupId" = 1;
2022-12-17 11:51:38.653 +04 [6804] РћРЁРР‘РљРђ:  РїРµСЂРµРїРѕР»РЅРµРЅРёРµ РїРѕР»СЏ numeric
2022-12-17 11:51:38.653 +04 [6804] РџРћР”Р РћР‘РќРћРЎРўР:  РџРѕР»Рµ СЃ С‚РѕС‡РЅРѕСЃС‚СЊСЋ 5, РїРѕСЂСЏРґРєРѕРј 2 РґРѕР»Р¶РЅРѕ РѕРєСЂСѓРіР»СЏС‚СЊСЃСЏ РґРѕ Р°Р±СЃРѕР»СЋС‚РЅРѕРіРѕ Р·РЅР°С‡РµРЅРёСЏ РјРµРЅСЊС€Рµ С‡РµРј 10^3.
2022-12-17 11:51:38.653 +04 [6804] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-17 11:51:57.442 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 11:52:01.562 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 33 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=3.374 сек., синхр.=0.664 сек., всего=4.120 сек.; синхронизировано_файлов=28, самая_долгая_синхр.=0.034 сек., средняя=0.024 сек.; расстояние=68 kB, ожидалось=90 kB
2022-12-17 11:58:28.493 +04 [1684] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 11:58:28.493 +04 [6804] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 11:58:31.588 +04 [6036] РћРЁРР‘РљРђ:  РїРµСЂРµРїРѕР»РЅРµРЅРёРµ РїРѕР»СЏ numeric
2022-12-17 11:58:31.588 +04 [6036] РџРћР”Р РћР‘РќРћРЎРўР:  РџРѕР»Рµ СЃ С‚РѕС‡РЅРѕСЃС‚СЊСЋ 5, РїРѕСЂСЏРґРєРѕРј 2 РґРѕР»Р¶РЅРѕ РѕРєСЂСѓРіР»СЏС‚СЊСЃСЏ РґРѕ Р°Р±СЃРѕР»СЋС‚РЅРѕРіРѕ Р·РЅР°С‡РµРЅРёСЏ РјРµРЅСЊС€Рµ С‡РµРј 10^3.
2022-12-17 11:58:31.588 +04 [6036] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-17 11:58:31.606 +04 [6036] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 11:58:31.635 +04 [5056] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2022-12-17 12:06:57.572 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 12:07:00.414 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 18 (0.1%); добавлено файлов WAL 1, удалено: 0, переработано: 0; запись=1.841 сек., синхр.=0.450 сек., всего=2.842 сек.; синхронизировано_файлов=15, самая_долгая_синхр.=0.067 сек., средняя=0.030 сек.; расстояние=28 kB, ожидалось=84 kB
2022-12-17 14:33:53.703 +04 [11412] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "executive_docs_contract_id"
2022-12-17 14:33:53.703 +04 [11412] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "("contractId")=(5)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2022-12-17 14:33:53.703 +04 [11412] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-17 14:33:53.716 +04 [11412] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 14:33:53.743 +04 [1632] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2022-12-17 14:36:57.666 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 14:36:58.287 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.441 сек., синхр.=0.108 сек., всего=0.621 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.028 сек., средняя=0.022 сек.; расстояние=8 kB, ожидалось=76 kB
2022-12-17 14:40:28.691 +04 [14132] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "executive_docs_contract_id"
2022-12-17 14:40:28.691 +04 [14132] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "("contractId")=(5)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2022-12-17 14:40:28.691 +04 [14132] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-17 14:41:01.722 +04 [14132] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 14:41:01.723 +04 [628] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 14:41:57.291 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 14:41:57.790 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.334 сек., синхр.=0.090 сек., всего=0.500 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.028 сек., средняя=0.023 сек.; расстояние=1 kB, ожидалось=69 kB
2022-12-17 14:47:01.540 +04 [7448] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "executive_docs_contract_id"
2022-12-17 14:47:01.540 +04 [7448] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "("contractId")=(5)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2022-12-17 14:47:01.540 +04 [7448] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-17 14:47:01.556 +04 [7448] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 14:49:58.801 +04 [8900] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "executive_docs_contract_id"
2022-12-17 14:49:58.801 +04 [8900] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "("contractId")=(5)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2022-12-17 14:49:58.801 +04 [8900] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-17 14:49:58.819 +04 [8900] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 14:49:58.820 +04 [12436] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 14:51:57.803 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 14:51:58.314 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.328 сек., синхр.=0.096 сек., всего=0.511 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.028 сек., средняя=0.024 сек.; расстояние=1 kB, ожидалось=62 kB
2022-12-17 14:55:15.397 +04 [3428] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "executive_docs_contract_id"
2022-12-17 14:55:15.397 +04 [3428] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "("contractId")=(5)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
