2022-12-18 09:11:24.907 +04 [4900] СООБЩЕНИЕ:  система БД была выключена: 2022-12-18 09:10:59 +04
2022-12-18 09:11:24.908 +04 [4920] ВАЖНО:  система баз данных запускается
2022-12-18 09:16:24.909 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 09:16:28.775 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 34 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=3.382 сек., синхр.=0.416 сек., всего=3.868 сек.; синхронизировано_файлов=22, самая_долгая_синхр.=0.041 сек., средняя=0.019 сек.; расстояние=98 kB, ожидалось=98 kB
2022-12-18 09:21:24.785 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 09:21:25.025 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.111 сек., синхр.=0.054 сек., всего=0.240 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.027 сек.; расстояние=2 kB, ожидалось=88 kB
2022-12-18 09:46:24.077 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 09:46:24.298 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.101 сек., синхр.=0.050 сек., всего=0.222 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.025 сек.; расстояние=2 kB, ожидалось=80 kB
2022-12-18 11:06:24.447 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 11:06:24.839 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.109 сек., синхр.=0.044 сек., всего=0.393 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.024 сек., средняя=0.022 сек.; расстояние=2 kB, ожидалось=72 kB
2022-12-18 11:11:24.840 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 11:11:25.083 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.112 сек., синхр.=0.042 сек., всего=0.244 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.022 сек., средняя=0.021 сек.; расстояние=4 kB, ожидалось=65 kB
2022-12-18 11:16:24.098 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 11:16:24.328 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.044 сек., всего=0.230 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.023 сек., средняя=0.022 сек.; расстояние=4 kB, ожидалось=59 kB
2022-12-18 11:21:24.331 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 11:21:24.606 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.111 сек., синхр.=0.044 сек., всего=0.275 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.023 сек., средняя=0.022 сек.; расстояние=4 kB, ожидалось=54 kB
2022-12-18 11:26:24.606 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 11:26:24.850 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.108 сек., синхр.=0.045 сек., всего=0.245 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.025 сек., средняя=0.023 сек.; расстояние=5 kB, ожидалось=49 kB
2022-12-18 11:31:24.853 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 11:31:25.109 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.112 сек., синхр.=0.054 сек., всего=0.257 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.027 сек.; расстояние=5 kB, ожидалось=44 kB
2022-12-18 11:36:24.123 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 11:36:24.365 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.102 сек., синхр.=0.044 сек., всего=0.242 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.023 сек., средняя=0.022 сек.; расстояние=6 kB, ожидалось=40 kB
2022-12-18 11:46:24.393 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 11:46:24.637 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.102 сек., синхр.=0.044 сек., всего=0.245 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.023 сек., средняя=0.022 сек.; расстояние=6 kB, ожидалось=37 kB
