2022-12-19 17:45:03.580 +04 [4888] ВАЖНО:  система баз данных запускается
2022-12-19 17:45:03.586 +04 [4880] СООБЩЕНИЕ:  система БД была выключена: 2022-12-19 17:44:39 +04
2022-12-19 17:47:22.311 +04 [10040] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-19 17:47:22.313 +04 [6556] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-19 17:47:22.316 +04 [9568] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-19 17:47:22.317 +04 [9632] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-19 17:47:22.317 +04 [9516] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-19 17:50:03.595 +04 [4852] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-19 17:50:07.435 +04 [4852] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 30 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.963 сек., синхр.=0.805 сек., всего=3.842 сек.; синхронизировано_файлов=26, самая_долгая_синхр.=0.059 сек., средняя=0.031 сек.; расстояние=104 kB, ожидалось=104 kB
2022-12-19 17:55:03.446 +04 [4852] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-19 17:55:04.578 +04 [4852] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.860 сек., синхр.=0.198 сек., всего=1.132 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.034 сек., средняя=0.022 сек.; расстояние=13 kB, ожидалось=95 kB
2022-12-19 18:07:39.563 +04 [4540] ОШИБКА:  выполнение оператора отменено по запросу пользователя
2022-12-19 18:07:39.601 +04 [8320] Р’РђР–РќРћ:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РїРѕ РєРѕРјР°РЅРґРµ Р°РґРјРёРЅРёСЃС‚СЂР°С‚РѕСЂР°
2022-12-19 18:07:39.615 +04 [4852] СООБЩЕНИЕ:  выключение
2022-12-19 18:07:39.648 +04 [4852] СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2022-12-19 18:07:39.773 +04 [4852] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.049 сек., всего=0.158 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.026 сек., средняя=0.025 сек.; расстояние=0 kB, ожидалось=86 kB
